tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,917 + 1218,273 + 1225,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1889A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,917 + 1219,273 + 1226,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1889A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,918 + 943,274 + 1092,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2027 vs 2026 (names: 'Hull H1890A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,918 + 1217,274 + 1224,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1890A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,918 + 1218,274 + 1225,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1890A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,918 + 1219,274 + 1226,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1890A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1003 + 1115,387 + 1193,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2027 vs 2028 (names: 'Archon' / 'HD Hyundai Samho (Capital Clean ECC 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1060 + 1115,244 + 1193,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull 8254 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1060 + 1149,244 + 1194,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8254 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1060 + 1150,244 + 1195,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8254 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 3)').,verify by source: is the placeholder the same slot as the named row?
